"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NTC","2026-01-01","905","909","902.2","905","0.00 %","74,592.00","67,568,456.30"
"NTC","2025-12-31","909","909","900","905","0.02 %","40,304.00","36,498,409.60"
"NTC","2025-12-29","908","911","898","904.8","-0.13 %","38,244.00","34,636,425.70"
"NTC","2025-12-28","909.9","909.9","896","906","1.18 %","38,661.00","34,912,329.80"
"NTC","2025-12-24","916.9","916.9","890","895.4","-0.40 %","39,968.00","35,856,692.70"
"NTC","2025-12-23","887","900","875.2","899","2.74 %","45,919.00","40,919,423.10"
"NTC","2025-12-22","875.1","880","875","875","-0.56 %","9,374.00","8,217,145.70"
"NTC","2025-12-21","875","882","873","879.9","0.14 %","10,140.00","8,901,848.00"
"NTC","2025-12-18","889.8","889.8","877.2","878.7","-0.94 %","11,553.00","10,192,184.40"
"NTC","2025-12-17","880.1","892","880.1","887","0.23 %","14,222.00","12,631,812.70"
"NTC","2025-12-16","874","885","872.1","885","1.26 %","19,850.00","17,503,179.30"
"NTC","2025-12-15","872.5","876","872.5","874","0.17 %","12,155.00","10,631,012.50"
"NTC","2025-12-14","877","877","865","872.5","0.29 %","18,545.00","16,194,027.10"
"NTC","2025-12-11","868.9","870","865","870","0.12 %","8,059.00","6,985,245.60"
"NTC","2025-12-10","872","872","867","869","0.00 %","6,652.00","5,782,633.80"
"NTC","2025-12-09","871","874.9","864","869","-0.23 %","9,086.00","7,903,886.00"
"NTC","2025-12-08","879.9","879.9","868","871","-0.29 %","11,256.00","9,810,194.30"
"NTC","2025-12-07","860","880","859","873.5","1.33 %","23,190.00","20,195,575.90"
"NTC","2025-12-03","860","875","860","862","0.23 %","8,331.00","7,183,307.20"
"NTC","2025-12-02","865","865","858.1","860","-0.20 %","7,090.00","6,100,300.10"
"NTC","2025-12-01","861.5","867","856","861.7","0.02 %","6,734.00","5,802,156.30"
"NTC","2025-11-30","860","877","856","861.5","-0.52 %","14,037.00","12,142,363.10"
"NTC","2025-11-27","869","871.9","862","866","0.10 %","10,215.00","8,862,201.80"
"NTC","2025-11-26","860","870","860","865.1","0.05 %","7,244.00","6,266,135.20"
"NTC","2025-11-25","874","874","858","864.7","0.31 %","11,152.00","9,604,950.10"
"NTC","2025-11-24","865","865","855","862","0.40 %","9,084.00","7,832,671.00"
"NTC","2025-11-23","859.9","865","851.1","858.6","1.00 %","9,496.00","8,171,078.70"
"NTC","2025-11-20","853","859","847.3","850.1","-0.26 %","4,835.00","4,118,384.40"
"NTC","2025-11-19","858","859.9","850","852.3","-0.66 %","4,190.00","3,570,475.60"
"NTC","2025-11-18","860","869","850","858","0.23 %","7,307.00","6,258,797.80"
"NTC","2025-11-17","855","858","845","856","0.12 %","6,117.00","5,214,542.30"
"NTC","2025-11-16","872.3","872.3","851","855","-0.12 %","3,867.00","3,306,213.60"
"NTC","2025-11-13","852.6","862.8","852.6","856","0.12 %","5,299.00","4,537,984.80"
"NTC","2025-11-12","875","875","852.6","855","-1.50 %","9,857.00","8,440,519.50"
"NTC","2025-11-11","887.4","887.4","863","868","-0.23 %","4,671.00","4,055,554.00"
"NTC","2025-11-10","861.5","875","861.5","870","0.00 %","6,316.00","5,489,386.40"
"NTC","2025-11-09","874","886","865.4","870","-0.34 %","15,841.00","13,807,792.80"
"NTC","2025-11-06","862","880","862","873","-0.67 %","14,216.00","12,464,386.30"
"NTC","2025-11-05","876.9","881","871","878.9","0.23 %","20,336.00","17,826,892.00"
"NTC","2025-11-04","875","885","875","876.9","-0.35 %","19,494.00","17,127,438.20"
